UTC,Latitude,Longitude,Altitude,SOG (knots),COG (deg),IMU Heading (avg),Apparent Wind Speed (knots),Apparent Wind Angle (deg),AWS X-Component,AWS Y-Component,True Wind Speed (knots),True Wind Direction (deg),Speed Through Water (knots),STW X-Component,STW Y-Component,Current Speed (knots),Current Direction (deg),Current X-Component,Current Y-Component,Errors
03:,48.651151,-123.394709,-14173,0.03,270.84,89.83,0.00,0.00,0.00,0.00,0.13,103.55,0.00,0.00,0.00,0.13,283.55,-0.12,0.03,None
03:00,48.651098,-123.394738,-21397,0.26,347.42,197.90,0.00,0.00,0.00,0.00,0.26,167.42,0.00,0.00,0.00,0.26,347.42,-0.06,0.26,None
03:,48.651111,-123.394752,-19352,0.28,267.13,197.58,0.00,0.00,0.00,0.00,0.28,87.13,0.00,0.00,0.00,0.28,267.13,-0.28,-0.01,None
04:05:02,48.651154,-123.394746,-17440,0.06,267.73,197.89,0.00,0.00,0.00,0.00,0.06,87.73,0.00,0.00,0.00,0.06,267.73,-0.06,-0.00,None
04:09,48.651140,-123.394736,-16368,0.14,128.88,89.96,0.00,0.00,0.00,0.00,0.04,308.88,0.00,0.00,0.00,0.04,128.88,0.03,-0.02,None
04:09,48.651144,-123.394730,-15070,0.03,154.47,90.05,0.00,0.00,0.00,0.00,0.07,326.79,0.00,0.00,0.00,0.07,146.79,0.04,-0.06,None
04:,48.651134,-123.394716,-17067,0.12,23.80,90.32,0.00,0.00,0.00,0.00,0.35,206.74,0.00,0.00,0.00,0.35,26.74,0.16,0.31,None
04:,48.651161,-123.394713,-14409,0.17,187.12,89.68,0.00,0.00,0.00,0.00,0.07,7.12,0.00,0.00,0.00,0.07,187.12,-0.01,-0.07,None
04:,48.651108,-123.394723,-20929,0.06,13.28,89.90,0.00,0.00,0.00,0.00,0.08,193.28,0.00,0.00,0.00,0.08,13.28,0.02,0.08,None
04:09,48.651124,-123.394700,-17695,0.05,229.62,198.80,0.00,0.00,0.00,0.00,0.05,49.62,0.00,0.00,0.00,0.05,229.62,-0.04,-0.03,None
04:,48.651141,-123.394732,-15750,0.03,289.68,91.12,0.00,0.00,0.00,0.00,0.20,97.74,0.00,0.00,0.00,0.20,277.74,-0.19,0.03,None
04:,48.651139,-123.394721,-16774,0.03,36.38,91.32,0.00,0.00,0.00,0.00,0.04,216.38,0.00,0.00,0.00,0.04,36.38,0.02,0.03,None
04:,48.651128,-123.394738,-19828,0.14,306.60,199.33,0.00,0.00,0.00,0.00,0.14,126.60,0.00,0.00,0.00,0.14,306.60,-0.11,0.08,None
04:,48.651123,-123.394735,-16946,0.03,131.67,91.30,0.00,0.00,0.00,0.00,0.12,290.03,0.00,0.00,0.00,0.12,110.03,0.12,-0.04,None
05:00:,48.651130,-123.394713,-18170,0.20,154.63,90.64,0.00,0.00,0.00,0.00,0.16,276.54,0.00,0.00,0.00,0.16,96.54,0.16,-0.02,None
05:05:,48.651136,-123.394731,-20815,0.08,338.48,90.85,0.00,0.00,0.00,0.00,0.07,158.48,0.00,0.00,0.00,0.07,338.48,-0.03,0.07,None
05:,48.651136,-123.394746,-17533,0.09,338.48,199.21,0.00,0.00,0.00,0.00,0.09,158.48,0.00,0.00,0.00,0.09,338.48,-0.03,0.08,None
05:,48.651137,-123.394734,-14073,0.10,3.78,91.16,0.00,0.00,0.00,0.00,0.06,183.78,0.00,0.00,0.00,0.06,3.78,0.00,0.06,None
05:,48.651154,-123.394730,-16547,0.06,35.98,199.49,0.00,0.00,0.00,0.00,0.06,215.98,0.00,0.00,0.00,0.06,35.98,0.03,0.05,None
05:,48.651164,-123.394694,-15043,0.10,227.79,90.88,0.00,0.00,0.00,0.00,0.08,47.79,0.00,0.00,0.00,0.08,227.79,-0.06,-0.05,None
05:,48.651116,-123.394697,-17806,0.03,217.83,198.99,0.00,0.00,0.00,0.00,0.03,37.83,0.00,0.00,0.00,0.03,217.83,-0.02,-0.02,None
